名前	グループ	プロファイル	有効	操作	優先	プログラム	ローカル アドレス	リモート アドレス	プロトコル	ローカル ポート	リモート ポート	承認されているユーザー	承認されているコンピューター	承認されたローカル プリンシパル	ローカル ユーザー オーナー	アプリケーション パッケージ	
Windows Media Player ネットワーク共有サービス (ストリーミング UDP 受信)	Windows Media Player ネットワーク共有サービス	ドメイン	いいえ	許可	いいえ	%PROGRAMFILES%\Windows Media Player\wmplayer.exe	任意	任意	UDP	任意	任意	任意	任意	任意	任意	任意	
Windows Media Player ネットワーク共有サービス (HTTP ストリーミング受信)	Windows Media Player ネットワーク共有サービス (インターネット)	ドメイン, プライベート	いいえ	許可	いいえ	System	任意	任意	TCP	10245	任意	任意	任意	任意	任意	任意	
Windows リモート管理 (HTTP 受信)	Windows リモート管理	パブリック	はい	許可	いいえ	System	任意	ローカル サブネット	TCP	5985	任意	任意	任意	任意	任意	任意	
Windows リモート管理 (HTTP 受信)	Windows リモート管理	ドメイン, プライベート	はい	許可	いいえ	System	任意	任意	TCP	5985	任意	任意	任意	任意	任意	任意	
Windows リモート管理 - 互換モード (HTTP-In)	Windows リモート管理 (互換性)	すべて	いいえ	許可	いいえ	System	任意	任意	TCP	80	任意	任意	任意	任意	任意	任意	
キー管理サービス (TCP 受信)	キー管理サービス	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\sppextcomobj.exe	任意	任意	TCP	1688	任意	任意	任意	任意	任意	任意	
コア ネットワーク - IPHTTPS (TCP-受信)	コア ネットワーク	すべて	はい	許可	いいえ	System	任意	任意	TCP	IPHTTPS	任意	任意	任意	任意	任意	任意	
コア ネットワーク - IPv6 (IPv6 受信)	コア ネットワーク	すべて	はい	許可	いいえ	System	任意	任意	IPv6	任意	任意	任意	任意	任意	任意	任意	
コア ネットワーク - IPv6 用動的ホスト構成プロトコル (DHCPV6-受信)	コア ネットワーク	すべて	はい	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	UDP	546	547	任意	任意	任意	任意	任意	
コア ネットワーク - Teredo (UDP 受信)	コア ネットワーク	すべて	はい	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	任意	UDP	エッジ トラバーサル	任意	任意	任意	任意	任意	任意	
コア ネットワーク - インターネット グループ管理プロトコル (IGMP 受信)	コア ネットワーク	すべて	はい	許可	いいえ	System	任意	任意	IGMP	任意	任意	任意	任意	任意	任意	任意	
コア ネットワーク - パケットが大きすぎます (ICMPv6 受信)	コア ネットワーク	すべて	はい	許可	いいえ	System	任意	任意	ICMPv6	任意	任意	任意	任意	任意	任意	任意	
コア ネットワーク - パラメーターの問題 (ICMPv6 受信)	コア ネットワーク	すべて	はい	許可	いいえ	System	任意	任意	ICMPv6	任意	任意	任意	任意	任意	任意	任意	
コア ネットワーク - マルチキャスト リスナー クエリ (ICMPv6 受信)	コア ネットワーク	すべて	はい	許可	いいえ	System	任意	ローカル サブネット	ICMPv6	任意	任意	任意	任意	任意	任意	任意	
コア ネットワーク - マルチキャスト リスナー レポート (ICMPv6 受信)	コア ネットワーク	すべて	はい	許可	いいえ	System	任意	ローカル サブネット	ICMPv6	任意	任意	任意	任意	任意	任意	任意	
コア ネットワーク - マルチキャスト リスナー レポート v2 (ICMPv6 受信)	コア ネットワーク	すべて	はい	許可	いいえ	System	任意	ローカル サブネット	ICMPv6	任意	任意	任意	任意	任意	任意	任意	
コア ネットワーク - マルチキャスト リスナー完了 (ICMPv6 受信)	コア ネットワーク	すべて	はい	許可	いいえ	System	任意	ローカル サブネット	ICMPv6	任意	任意	任意	任意	任意	任意	任意	
